web-scraper-order,web-scraper-start-url,Symbol,Margen
1620619768-1342,https://finance.yahoo.com/quote/AVAV/key-statistics,(AVAV),7.58%
1620619826-1361,https://finance.yahoo.com/quote/2454.TW/key-statistics,(2454.TW),16.46%
1620619828-1362,https://finance.yahoo.com/quote/BABA/key-statistics,(BABA),24.71%
1620619834-1364,https://finance.yahoo.com/quote/MSFT/key-statistics,(MSFT),35.02%
1620619765-1341,https://finance.yahoo.com/quote/PAOTF/key-statistics,(PAOTF),-67.02%
1620619773-1344,https://finance.yahoo.com/quote/UBER/key-statistics,(UBER),-36.50%
1620619781-1347,https://finance.yahoo.com/quote/BOTZ/key-statistics,(BOTZ),null
1620619778-1346,https://finance.yahoo.com/quote/IRBT/key-statistics,(IRBT),11.20%
1620619831-1363,https://finance.yahoo.com/quote/AYX/key-statistics,(AYX),-9.81%
1620619750-1335,https://finance.yahoo.com/quote/DDD/key-statistics,(DDD),-26.85%
1620619776-1345,https://finance.yahoo.com/quote/ARKQ/key-statistics,(ARKQ),null
1620619758-1338,https://finance.yahoo.com/quote/BA/key-statistics,(BA),-20.86%
1620619810-1355,https://finance.yahoo.com/quote/MELI/key-statistics,(MELI),-0.29%
1620619823-1360,https://finance.yahoo.com/quote/0763.HK/key-statistics,(0763.HK),5.33%
1620619808-1354,https://finance.yahoo.com/quote/005930.KS/key-statistics,(005930.KS),11.46%
1620619795-1352,https://finance.yahoo.com/quote/PLUS.L/key-statistics,(PLUS.L),57.78%
1620619791-1351,https://finance.yahoo.com/quote/IGG.L/key-statistics,(IGG.L),42.66%
1620619805-1353,https://finance.yahoo.com/quote/COIN/key-statistics,(COIN),25.28%
1620619818-1358,https://finance.yahoo.com/quote/AMD/key-statistics,(AMD),25.24%
1620619815-1357,https://finance.yahoo.com/quote/U/key-statistics,(U),-36.55%
1620619763-1340,https://finance.yahoo.com/quote/GPRO/key-statistics,(GPRO),-1.37%
1620619753-1336,https://finance.yahoo.com/quote/SSYS/key-statistics,(SSYS),-85.20%
1620619820-1359,https://finance.yahoo.com/quote/NVDA/key-statistics,(NVDA),25.98%
1620619789-1350,https://finance.yahoo.com/quote/TSLA/key-statistics,(TSLA),3.18%
1620619783-1348,https://finance.yahoo.com/quote/1958.HK/key-statistics,(1958.HK),1.94%
1620619786-1349,https://finance.yahoo.com/quote/000270.KS/key-statistics,(000270.KS),2.51%
1620619838-1365,https://finance.yahoo.com/quote/IBM/key-statistics,(IBM),7.28%
1620619813-1356,https://finance.yahoo.com/quote/PYPL/key-statistics,(PYPL),22.80%
1620619760-1339,https://finance.yahoo.com/quote/ARKX/key-statistics,(ARKX),null
1620619755-1337,https://finance.yahoo.com/quote/SPCE/key-statistics,(SPCE),0.00%
1620619747-1334,https://finance.yahoo.com/quote/MTLS/key-statistics,(MTLS),-4.68%
1620619770-1343,https://finance.yahoo.com/quote/HYMTF/key-statistics,(HYMTF),1.37%
